STATE:141:cc/cc/cc/cc:4h6d|Ad3h/2cKcQc/6c/9d:100|-100:DeepStack|shaposhnikov.roman.1 # 1480713800.48692
STATE:142:f:3cQs|6c2h:50|-50:shaposhnikov.roman.1|DeepStack # 1480713845.62638
STATE:143:r250f:2sTd|AdQh:-100|100:DeepStack|shaposhnikov.roman.1 # 1480713852.96694
STATE:144:r200c/cr400c/cc/cc:Ah9h|6hKc/JhQh8s/5s/2c:400|-400:shaposhnikov.roman.1|DeepStack # 1480713867.89581
STATE:145:r250c/cr625f:3dAs|9c9d/7hTh5c:-250|250:DeepStack|shaposhnikov.roman.1 # 1480713934.63156
STATE:146:r300f:Qh3s|8d3d:-100|100:shaposhnikov.roman.1|DeepStack # 1480713966.80914
STATE:147:cc/cc/cc/r200f:As8c|9d6d/3cQsQc/5c/Qd:100|-100:DeepStack|shaposhnikov.roman.1 # 1480713978.76225
STATE:148:cc/cc/cc/cr300c:4h6d|9h3s/9c2d8s/Ad/6s:-300|300:shaposhnikov.roman.1|DeepStack # 1480714035.86514
STATE:149:r200c/cr500c/cc/cc:AcTs|Td8c/3hQc7s/3c/2h:500|-500:DeepStack|shaposhnikov.roman.1 # 1480714097.10038
STATE:150:cc/cc/r250f:4c6h|Qs3c/8h5hJc/Ah:100|-100:shaposhnikov.roman.1|DeepStack # 1480714147.83653
STATE:151:r250r750c/r1500f:9h7h|Qd7d/Ah4c5s:750|-750:DeepStack|shaposhnikov.roman.1 # 1480714187.28846
STATE:152:r200f:3c8h|8dJc:-100|100:shaposhnikov.roman.1|DeepStack # 1480714229.89906
STATE:153:f:5hTs|9h4c:50|-50:DeepStack|shaposhnikov.roman.1 # 1480714241.64092
STATE:154:f:KdAs|3h2d:50|-50:shaposhnikov.roman.1|DeepStack # 1480714264.18614
STATE:155:cc/cc/cc/cc:Jd8c|Th7d/3s2s6c/9d/6s:100|-100:DeepStack|shaposhnikov.roman.1 # 1480714271.46183
STATE:156:r300f:Ad9c|QsKs:-100|100:shaposhnikov.roman.1|DeepStack # 1480714328.42982
STATE:157:r200c/cr400c/cc/r800c:TdAh|Qc7c/7h9hQh/Jh/Ac:800|-800:DeepStack|shaposhnikov.roman.1 # 1480714346.45239
STATE:158:r300f:Qd6h|9c2c:-100|100:shaposhnikov.roman.1|DeepStack # 1480714408.52996
STATE:159:r250c/cr500c/cr1250f:6h5s|Ah8d/Qc2d4c/4s:-500|500:DeepStack|shaposhnikov.roman.1 # 1480714424.90264
STATE:160:r300r900f:AdTc|3dKh:300|-300:shaposhnikov.roman.1|DeepStack # 1480714471.81924
STATE:161:r250r750r1875c/cr3750c/cr7500c/cc:9c9d|AhQc/Jc3h8h/Tc/6c:7500|-7500:DeepStack|shaposhnikov.roman.1 # 1480714488.45988
STATE:162:r200r500c/r1000c/r2500f:QcKc|3sAc/Kd2h4h/Ts:1000|-1000:shaposhnikov.roman.1|DeepStack # 1480714575.08095
STATE:163:f:7c8c|8s4d:50|-50:DeepStack|shaposhnikov.roman.1 # 1480714626.33298
STATE:164:r300r900f:7h9h|7sQd:300|-300:shaposhnikov.roman.1|DeepStack # 1480714637.55857
STATE:165:cc/cr250c/cc/cc:2sTd|Qc4c/Qh2hJd/7h/8h:-250|250:DeepStack|shaposhnikov.roman.1 # 1480714653.99744
STATE:166:r300r900c/r2250c/r5625f:Ts7s|Kh8d/7cJs8h/3s:2250|-2250:shaposhnikov.roman.1|DeepStack # 1480714706.25768
STATE:167:cc/cc/cr250f:Tc3s|8sTd/9c2c9h/8c:-100|100:DeepStack|shaposhnikov.roman.1 # 1480714753.10552
STATE:168:r200r600f:KcKd|Qh5c:200|-200:shaposhnikov.roman.1|DeepStack # 1480714792.62353
STATE:169:r250c/cc/cc/cr500f:6dQh|QdQc/Kd5sJs/8c/Jd:-250|250:DeepStack|shaposhnikov.roman.1 # 1480714811.47468
STATE:170:cr250f:QcAs|3cTh:100|-100:shaposhnikov.roman.1|DeepStack # 1480714858.91529
