STATE:133:r300c/cr600c/r1200f:5d4d|9dJd/3cKhAs/6d:600|-600:DeepStack|islam.jefri.1 # 1479525301.88054
STATE:134:cc/cr200f:2hTh|6s7s/Qh3sAc:-100|100:islam.jefri.1|DeepStack # 1479525346.28251
STATE:135:r300c/cr655f:Qc8d|5c4s/6dJs6h:-300|300:DeepStack|islam.jefri.1 # 1479525373.368
STATE:136:cc/r250c/r625f:7c4d|Qh7h/Ac9h6d/3c:250|-250:islam.jefri.1|DeepStack # 1479525401.71467
STATE:137:r300f:4c6d|5s2h:-100|100:DeepStack|islam.jefri.1 # 1479525437.56746
STATE:138:r200c/cr600c/cr1800c/cc:Ad7h|TcKs/7s2sQd/Qc/7c:1800|-1800:islam.jefri.1|DeepStack # 1479525456.40404
STATE:139:r300f:Qh2s|5h6d:-100|100:DeepStack|islam.jefri.1 # 1479525524.28396
STATE:140:r300r1125c/r2375f:TcKc|9hAh/Qc4c5d:1125|-1125:islam.jefri.1|DeepStack # 1479525542.03244
STATE:141:r300c/cc/cr750c/cc:7s8d|4cTd/8hThAc/7h/2c:750|-750:DeepStack|islam.jefri.1 # 1479525583.9803
STATE:142:cc/cr200f:3sJd|9sAd/Ac5c9c:-100|100:islam.jefri.1|DeepStack # 1479525659.26484
STATE:143:r300c/cc/cc/cc:Kh9d|Ah3c/Th9cQh/2d/2h:300|-300:DeepStack|islam.jefri.1 # 1479525686.71597
STATE:144:r200c/cc/r600c/r1800f:5h5s|9s9c/Tc3c3d/2h/Js:600|-600:islam.jefri.1|DeepStack # 1479525748.36295
STATE:145:r300r900c/r1800c/r3600c/cr20000f:TdAs|4s8c/7c9s6h/Qc/2d:-3600|3600:DeepStack|islam.jefri.1 # 1479525789.74143
STATE:146:cr500f:JdQs|Qd2c:100|-100:islam.jefri.1|DeepStack # 1479525869.13961
STATE:147:r300f:8h2d|Td2h:-100|100:DeepStack|islam.jefri.1 # 1479525887.44966
STATE:148:r300c/cc/r1500c/cc:3c4d|5d9s/3dAc4s/2h/2d:-1500|1500:islam.jefri.1|DeepStack # 1479525904.4279
STATE:149:r300f:5c9h|8sTc:-100|100:DeepStack|islam.jefri.1 # 1479525955.16202
STATE:150:cc/cr300f:7cTd|TsAc/Ah9s5c:-100|100:islam.jefri.1|DeepStack # 1479525972.33635
STATE:151:r300c/cr750c/cr4950c/cr20000f:Tc6c|TdQs/KcQdQc/6s/5h:-4950|4950:DeepStack|islam.jefri.1 # 1479526007.99276
STATE:152:cc/r250c/r750f:9s8c|JdKs/6c6d4d/7c:250|-250:islam.jefri.1|DeepStack # 1479526076.13963
STATE:153:r300f:6c9s|4s5s:-100|100:DeepStack|islam.jefri.1 # 1479526113.54482
STATE:154:f:TcTh|3h8c:50|-50:islam.jefri.1|DeepStack # 1479526128.21747
STATE:155:r300r900c/r1800c/cr4500f:KsTh|2h8h/9hQd2d/3h:-1800|1800:DeepStack|islam.jefri.1 # 1479526136.46529
STATE:156:r300c/cc/r1300f:4d9d|9c7h/5d2s3h/5h:300|-300:islam.jefri.1|DeepStack # 1479526184.72325
STATE:157:r300r900c/r1800c/r5400c/r10800f:KhQs|Ts7s/4dJhTc/6c/9h:5400|-5400:DeepStack|islam.jefri.1 # 1479526223.77544
STATE:158:cc/cr200f:Jd2d|Js3h/8h9s6h:-100|100:islam.jefri.1|DeepStack # 1479526305.8689
STATE:159:r300c/cr750f:Qd5d|QcTh/Jh8sJc:-300|300:DeepStack|islam.jefri.1 # 1479526337.19786
STATE:160:r200c/cr400f:6c8d|Ts8h/JcJsAd:-200|200:islam.jefri.1|DeepStack # 1479526365.81832
STATE:161:r300c/cc/cr750f:Kh4h|4dTh/9s7s5d/2h:-300|300:DeepStack|islam.jefri.1 # 1479526397.88043
STATE:162:r200c/cr600c/cr1200c/cc:9sQd|As2s/9cJdTs/Ks/6d:1200|-1200:islam.jefri.1|DeepStack # 1479526438.64634
STATE:163:r300r900c/r1800c/r3600c/cc:5hAh|6hKs/9d8cKh/5c/3h:-3600|3600:DeepStack|islam.jefri.1 # 1479526513.77636
STATE:164:r300c/cr600r1450f:5dKh|QcAc/4c6s3d:600|-600:islam.jefri.1|DeepStack # 1479526581.03082
STATE:165:r300f:7c4s|2cTc:-100|100:DeepStack|islam.jefri.1 # 1479526623.53866
STATE:166:r200c/cr600f:Js3s|4cTc/7s9c8d:-200|200:islam.jefri.1|DeepStack # 1479526643.40413
STATE:167:r300f:4h2c|As7h:-100|100:DeepStack|islam.jefri.1 # 1479526680.36687
STATE:168:cr500f:KdTh|Tc5h:100|-100:islam.jefri.1|DeepStack # 1479526696.46483
STATE:169:cr300c/cr750f:6d6c|7h4c/9dJc8d:-300|300:DeepStack|islam.jefri.1 # 1479526717.15438
STATE:170:cc/cr200r600c/r1500f:5dKc|Qs6s/Kd6d4c/7s:600|-600:islam.jefri.1|DeepStack # 1479526754.03794
STATE:171:r300c/cc/cr750f:6s5c|4dQd/ThJs3c/9h:-300|300:DeepStack|islam.jefri.1 # 1479526805.5841
STATE:172:f:9cJc|7h3d:50|-50:islam.jefri.1|DeepStack # 1479526848.88295
STATE:173:r300c/cr750c/cc/cc:5h3h|7c2h/2cKhAs/4d/6s:750|-750:DeepStack|islam.jefri.1 # 1479526857.37804
STATE:174:r300c/cc/r750c/r1500c:8d9c|AdAc/7hJh8s/9d/As:-1500|1500:islam.jefri.1|DeepStack # 1479526907.29219
STATE:175:f:2c8c|5h3h:50|-50:DeepStack|islam.jefri.1 # 1479526970.96206
