In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 45.
127:Player,BR:0cc/cc/cc/cc:9dJc,6cTh|/4d8hAd/7h/Kc:100,-100(72.896421)
128:BR,Player:0r130c/cr460c/cr2070c/cr8280f:3h3c,4h4d|/4c7hAc/Ad/Jd:-2760,2760(-2760.000000)
129:Player,BR:0cr600f:3c5c,2h8d|:100,-100(100.000000)
130:BR,Player:0r130c/cr299f:2d6c,9hJs|/4c7h9s:-230,230(-230.000000)
131:Player,BR:0cc/cc/cc/cc:2dKs,8h8c|/4s6sQs/3s/4c:100,-100(1.737218)
132:BR,Player:0r200c/cc/cc/cc:2sTc,4s9s|/4h7dAc/3s/Qs:-300,300(-300.000000)
133:Player,BR:0cr300c/r520c/cc/cc:7h8h,6cKc|/6h6dAs/7d/5s:-920,920(-899.665424)
134:BR,Player:0r200c/cc/cc/cc:4s4c,5sQh|/3h7cKs/2s/Ac:300,-300(102.437038)
135:Player,BR:0cr300f:2hTh,2d3d|:100,-100(100.000000)
136:BR,Player:0r130c/cr299c/cr687c/cr2432c:4sKc,3h6h|/3sTsKd/8s/3c:-3648,3648(-971.889475)
137:Player,BR:0cr200c/cc/r390f:7h8d,5hKd|/2d6sJh/Tc:300,-300(300.000000)
138:BR,Player:0r200c/cc/cc/cr390c:4hQd,9sTs|/2hQhKd/7h/6d:690,-690(424.278841)
139:Player,BR:0cc/cc/r130c/cc:3cTh,3dJh|/5c9cAs/5s/6d:-230,230(-22.032727)
140:BR,Player:0r200c/cc/cr150c/cc:4s6c,4dKh|/6s9sKs/3s/8s:450,-450(450.000000)
141:Player,BR:0cc/cc/r130c/cc:6c9d,9cAc|/2s5c8s/Ah/Jc:-230,230(-210.053259)
142:BR,Player:0f:8dKh,2hTs|:50,-50(50.000000)
143:Player,BR:0cc/cc/r130c/cc:2s4h,JdQs|/6sQhQc/2d/7h:-230,230(-225.919950)
144:BR,Player:0r130c/cc/cc/cc:2hJs,8hAc|/3s5sJd/Qs/3c:230,-230(230.000000)
145:Player,BR:0cc/cc/r200c/r390c:TsQc,7cTc|/9dJcQh/7d/Kc:0,-0(-305.393876)
146:BR,Player:0r130c/cc/cc/cc:3s3d,4hKc|/9dQcAs/Ts/5d:230,-230(-45.878366)
147:Player,BR:0cc/cc/cc/cc:JcQs,JhKc|/2h8dTc/3c/Ts:-100,100(-20.983734)
148:BR,Player:0cc/cc/cc/cr200c:9hKs,2dKh|/9dTcAd/Kc/6d:300,-300(290.744126)
149:Player,BR:0cr200c/r900f:8hQh,5hQc|/2h4dTh:300,-300(300.000000)
150:BR,Player:0cc/cc/cc/cr200f:6sJh,4c7h|/6h9cTc/7s/7d:-100,100(-100.000000)
151:Player,BR:0cc/cc/cc/r200f:6hKc,2hJs|/5cJdKd/5s/Ad:100,-100(100.000000)
152:BR,Player:0r130c/cc/cr115c/cc:3s4d,8h9d|/7hQsKd/7d/Jh:0,-0(-157.858174)
153:Player,BR:0cr300c/cc/r200c/cc:4c6c,2hAc|/5dTdAd/6s/Ks:-600,600(-113.693133)
154:BR,Player:0r130c/cr299c/cc/cc:2sAc,7c9s|/5dJhQh/Qc/4s:529,-529(171.466448)
155:Player,BR:0cr200c/cc/cc/cc:8hAc,8dTh|/3c4c9h/Ts/2s:-300,300(-249.395276)
156:BR,Player:0r130c/cr299c/cc/cc:4d9d,7cTd|/2d3h3d/3c/Qd:529,-529(529.000000)
157:Player,BR:0cr600f:QcAh,2h9h|:100,-100(100.000000)
