In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,1,A
In config file: ACTIONS_R3=F,C,1,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 45.
148:Player,BR:0cr300c/cc/r1200f:9hKs,2dKh|/9dTcAd/Kc:400,-400(400.000000)
149:BR,Player:0r130c/cr460c/r1380f:8hQh,5hQc|/2h4dTh/Tc:690,-690(690.000000)
150:Player,BR:0cc/cc/cc/cr200f:6sJh,4c7h|/6h9cTc/7s/7d:-100,100(-100.000000)
151:BR,Player:0f:6hKc,2hJs|:50,-50(50.000000)
152:Player,BR:0cc/cc/cc/cr200f:3s4d,8h9d|/7hQsKd/7d/Jh:-100,100(-100.000000)
153:BR,Player:0cc/cc/r19900f:4c6c,2hAc|/5dTdAd/6s:100,-100(100.000000)
154:Player,BR:0cc/cc/cr200f:2sAc,7c9s|/5dJhQh/Qc:-100,100(-100.000000)
155:BR,Player:0r130c/cc/cr690f:8hAc,8dTh|/3c4c9h/Ts:-230,230(-230.000000)
156:Player,BR:0cc/cc/r130c/r115r690f:4d9d,7cTd|/2d3h3d/3c/Qd:-345,345(-345.000000)
157:BR,Player:0r130c/cr299c/cr687r2432c/r7296c:QcAh,2h9h|/6c9dKs/2d/8h:-10944,10944(-10944.000000)
158:Player,BR:0cc/cc/cr19900f:6s9h,3h6c|/8d9dJd/3d:-100,100(-100.000000)
159:BR,Player:0cc/cr130c/cr299f:4cJs,3d4d|/2h6d9s/9d:-230,230(-230.000000)
160:Player,BR:0cr200c/cc/r150c/cc:7dTh,5hJd|/4s7hKc/Ah/8s:450,-450(283.316587)
161:BR,Player:0r130c/cr690c/cc/r1840f:2cQh,3s4c|/5c8hKc/Kh/3h:920,-920(920.000000)
162:Player,BR:0cc/cc/cr200c/cr600f:3d9s,TdAh|/5d6dJd/4d/4c:-300,300(-300.000000)
163:BR,Player:0cc/cc/r19900f:6c9d,9sKd|/TcJsAs/8c:100,-100(100.000000)
164:Player,BR:0cc/cc/cr200f:7h8d,JsJh|/ThJcQc/5s:-100,100(-100.000000)
165:BR,Player:0r130c/cc/cc/r19770f:5d6c,8cJd|/3cTsKs/Jh/5h:230,-230(230.000000)
166:Player,BR:0cc/cc/cr200r390r1380f:7sKh,2d6h|/4c5hJh/6s:-690,690(-690.000000)
167:BR,Player:0r130c/cc/cc/r19770f:6s7d,7cJh|/8cThQh/8h/As:230,-230(230.000000)
168:Player,BR:0cc/cc/r200c/r900r2400f:2c8c,5s8d|/3d5c9d/As/9s:-1200,1200(-1200.000000)
169:BR,Player:0r130c/cc/r460c/r1380f:6cKh,JsQh|/5sKdAc/3d/5h:690,-690(690.000000)
170:Player,BR:0cr300c/cc/r200f:KhAh,9cTs|/3h4c6d/Js:400,-400(400.000000)
