In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R3=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 42.
105:BR,Player:0r200c/cc/r212c/r551f:JhQd,5d7d|/4hQhKd/4s/Jd:512,-512(512.000000)
106:Player,BR:0cc/cc/cr100f:6d8c,4cAh|/3sQhQc/Kc:-100,100(-100.000000)
107:BR,Player:0r200c/cr600c/r637c/r946r3727r8838f:2cQh,8sTd|/5c7s9s/Js/9c:6210,-6210(6210.000000)
108:Player,BR:0cc/cc/cr124r4376r4376f:2d3s,4d6s|/3c9dAh/4c:-4600,4600(-4600.000000)
109:BR,Player:0cc/cr200c/r371f:QcAd,5sTh|/2c3s7s/As:300,-300(300.000000)
110:Player,BR:0cr200c/cc/cr2627f:JsKc,3d7c|/2h2d8h/9s:-300,300(-300.000000)
111:BR,Player:0r130c/cc/r2014f:3sQc,4c6d|/5sThAs/Ts:230,-230(230.000000)
112:Player,BR:0cr300c/cc/r800r800f:2h4h,7dKd|/7hThQs/9s:-1200,1200(-1200.000000)
113:BR,Player:0r130c/cc/r1001f:9sJh,3cKs|/6hQcAc/Th:230,-230(230.000000)
114:Player,BR:0cr200c/r390c/cr982f:3d4s,3c5h|/2c9cQh/3s:-690,690(-690.000000)
115:BR,Player:0f:3h6s,2dJh|:50,-50(50.000000)
116:Player,BR:0cr600c/r910c/cr991f:9sTh,3sJc|/3h7d7c/2h:-1610,1610(-1610.000000)
117:BR,Player:0r130c/cc/r3522f:7hJd,9hKc|/6d7dQc/Jc:230,-230(230.000000)
118:Player,BR:0cr200c/cc/r900r1708f:KdAc,2s7d|/2c5hJd/Kh:-1200,1200(-1200.000000)
119:BR,Player:0r130c/cc/r871c/r1030c:AsAh,7sJd|/2h7hQc/4d/2s:2131,-2131(2131.000000)
120:Player,BR:0cc/cc/r130r7085f:4hJh,2h5d|/2c4s8h/Ac:-230,230(-230.000000)
121:BR,Player:0r130c/cc/r2014f:2s4c,4s5h|/6s9cAd/2c:230,-230(230.000000)
122:Player,BR:0cc/cc/cr142f:4s7s,5h8c|/7h8dTd/6d:-100,100(-100.000000)
123:BR,Player:0f:2cKc,2sTd|:50,-50(50.000000)
124:Player,BR:0cr300c/cc/cr495c/cr1108f:QsKd,KcAs|/4h6d9s/4d/6h:-895,895(-895.000000)
125:BR,Player:0r130c/cc/r14250f:5hTs,7dKh|/3dJsQc/Qd:230,-230(230.000000)
126:Player,BR:0cc/cc/cc/cr124f:2c4s,6d7s|/6c9sJd/Th/5s:-100,100(-100.000000)
127:BR,Player:0f:9cAs,2s6d|:50,-50(50.000000)
128:Player,BR:0cc/cc/cr19900f:4sQs,5cAd|/2c5dJs/5h:-100,100(-100.000000)
129:BR,Player:0r300c/cr520c/r8056c/r2746c:4d5s,3h4h|/2s5hKh/Jd/5d:11722,-11722(11722.000000)
130:Player,BR:0cc/cc/r130c/r460f:3h4c,4d9s|/3s3d9d/Tc/Jh:230,-230(230.000000)
131:BR,Player:0r130c/cr299c/cr687f:2h2d,JhKc|/8cTcKd/9c:-529,529(-529.000000)
132:Player,BR:0cc/cc/cr876f:3d4c,2d5c|/4s9cKc/6c:-100,100(-100.000000)
133:BR,Player:0r130c/cc/r6161f:6dKh,6sKc|/TcKsAc/2h:230,-230(230.000000)
134:Player,BR:0cc/cc/cr435f:4s5d,3d7d|/8sJdAh/4d:-100,100(-100.000000)
