In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 46.
113:BR,Player:0cc/r876c/cr974f:2d6d,ThJh|/3d7d8h/8s:-976,976(-976.000000)
114:Player,BR:0cc/cr435f:6hAc,3sKh|/5h6d8d:-100,100(-100.000000)
115:BR,Player:0r130c/r498f:7s7c,6sKc|/2s3cTs:230,-230(230.000000)
116:Player,BR:0cc/cr761f:2d8h,ThJd|/3h3cTd:-100,100(-100.000000)
117:BR,Player:0f:4dTc,3d6h|:50,-50(50.000000)
118:Player,BR:0cc/cr3080f:4cKc,9sAd|/5sQdKh:-100,100(-100.000000)
119:BR,Player:0f:8sTd,2c5d|:50,-50(50.000000)
120:Player,BR:0cr130c/cr1001c/cc/r2472c:TdQh,2dKs|/5c7hTc/4s/Ts:3703,-3703(816.923497)
121:BR,Player:0r130c/r1001c/cc/cr3599c:9sAd,JhAh|/4h5h6s/9c/3d:4830,-4830(-686.959313)
122:Player,BR:0cr200c/cr2627f:9s9h,5dAc|/3dQsQd:-300,300(-300.000000)
123:BR,Player:0r200c/r2627f:7s7d,9cTc|/3s5dKd:300,-300(300.000000)
124:Player,BR:0cc/cr876f:JhKc,TdQs|/4c5s5d:-100,100(-100.000000)
125:BR,Player:0cc/r379f:8cJh,2dQs|/7c8d9c:100,-100(100.000000)
126:Player,BR:0cc/cr1761f:7hQs,9sJc|/5c6sKc:-100,100(-100.000000)
127:BR,Player:0f:5cAh,2s9h|:50,-50(50.000000)
128:Player,BR:0cr300c/r800r2987f:5c7c,2sJc|/2c4dAh:-1200,1200(-1200.000000)
129:BR,Player:0r130c/r19770f:QhQd,7c9c|/4h6dQs:230,-230(230.000000)
130:Player,BR:0cr200c/cr2627f:9dQd,3s6s|/2dTdTc:-300,300(-300.000000)
131:BR,Player:0r130c/r2014f:7c8s,8dJd|/5h6cAd:230,-230(230.000000)
132:Player,BR:0cr300c/cr3503f:2s9s,6d8h|/7s9dQh:-400,400(-400.000000)
133:BR,Player:0r130c/r2014f:3h4h,4c7h|/8dAsAc:230,-230(230.000000)
134:Player,BR:0cr600c/cr996c/cc/cc:8dKc,QhAc|/5s8sTs/9d/5h:1696,-1696(1397.466048)
135:BR,Player:0cc/cc/cc/cr130f:4cQs,2dKs|/8d9cAs/2s/Ad:-100,100(-100.000000)
136:Player,BR:0cc/cr124f:3s9d,QsAs|/5sJhJd:-100,100(-100.000000)
