In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 45.
167:BR,Player:0r130c/cc/cc/cc:6s7d,7cJh|/8cThQh/8h/As:-230,230(-230.000000)
168:Player,BR:0cc/cc/r200c/r390f:2c8c,5s8d|/3d5c9d/As/9s:300,-300(300.000000)
169:BR,Player:0r130c/cc/cc/cc:6cKh,JsQh|/5sKdAc/3d/5h:230,-230(230.000000)
170:Player,BR:0cr300c/cc/r200f:KhAh,9cTs|/3h4c6d/Js:400,-400(400.000000)
171:BR,Player:0r130c/cr299c/cc/cc:8hQs,6c7s|/3s3dAs/8s/6d:529,-529(455.753626)
172:Player,BR:0cc/cc/cc/r300f:3s7h,6d8h|/4s5d6c/8d/Qc:100,-100(100.000000)
173:BR,Player:0cc/cc/cc/cr130f:4hAc,TcQh|/7d8hTh/Ks/5d:-100,100(-100.000000)
174:Player,BR:0cr300c/cc/cc/cc:8hAs,3dQh|/7dJhKh/2h/4d:400,-400(400.000000)
175:BR,Player:0r130c/cr299c/cc/cc:2c4d,5sAs|/2s5dQh/9s/8c:-529,529(-184.428856)
176:Player,BR:0cc/cc/r130f:4h5s,7cTh|/5cKsKd/Jh:100,-100(100.000000)
177:BR,Player:0f:6cKc,2h6d|:50,-50(50.000000)
178:Player,BR:0cc/cc/r130c/r299c:5dKh,8sTc|/2c7dKc/9s/Th:529,-529(149.995845)
179:BR,Player:0r130c/cc/cr299c/cr1587c:2dAd,6cAc|/TdJsQs/8c/Qh:0,-0(-0.000000)
180:Player,BR:0cc/cc/r130c/r299f:3cAs,8cKc|/4c5dQd/Ad/Tc:230,-230(230.000000)
181:BR,Player:0r130c/cc/cc/cr299c:QsAd,5cKd|/4dKhAh/8c/Th:529,-529(394.697495)
182:Player,BR:0cr300c/r800f:2s2c,6dJh|/2d4sTd:400,-400(400.000000)
183:BR,Player:0r130c/cc/cr299f:4h7h,5sKc|/TcKsAh/3c:-230,230(-230.000000)
184:Player,BR:0cc/cc/cc/r200c:4s8d,3dQd|/4dTsJh/Js/4h:300,-300(74.143324)
185:BR,Player:0cc/cr200f:JdQh,4dJs|/2h4cKd:-100,100(-100.000000)
186:Player,BR:0cr300c/cc/cc/r200c:4s8s,5c9h|/6d8h9s/Th/6c:-600,600(-210.053911)
187:BR,Player:0r130c/cr299c/cc/cr1058f:6h7d,6sTh|/2d7s9s/Ts/2c:-529,529(-529.000000)
188:Player,BR:0cc/cc/cc/cc:3sAc,2c4s|/4h6hJh/Qd/3h:-100,100(48.359446)
189:BR,Player:0r130c/cc/cc/cc:5dAd,4h6d|/4cKcAc/Ks/Qd:230,-230(230.000000)
190:Player,BR:0cr600f:KhKd,3h7c|:100,-100(100.000000)
191:BR,Player:0r130c/cr299f:3c9s,KdAs|/6sTcQh:-230,230(-230.000000)
192:Player,BR:0cr200c/r600f:8c9c,3h7c|/5sJcKs:300,-300(300.000000)
193:BR,Player:0r130c/cc/cc/cr299f:JdQd,4h7s|/2h7dAs/8h/7h:-230,230(-230.000000)
194:Player,BR:0cc/cc/cc/cc:2c4h,6hQd|/4s9sKd/8s/As:100,-100(70.703965)
195:BR,Player:0f:2dJd,2s8c|:50,-50(50.000000)
196:Player,BR:0cr300c/cc/r800c/cc:8hKh,JsAs|/4s5d5c/Jd/9h:-1200,1200(-907.943326)
197:BR,Player:0r130c/cc/cc/cc:6h8s,4sKh|/QsQdAh/Td/Th:0,-0(-0.000000)
198:Player,BR:0cr300f:8sTh,4d7h|:100,-100(100.000000)
199:BR,Player:0f:6c9c,2s9d|:50,-50(50.000000)
200:Player,BR:0cc/cc/r130c/r115c:3d5s,5hTh|/5d9hTc/9s/4s:-345,345(-232.029419)
201:BR,Player:0r130c/cc/cc/cr299f:2cKh,4hJd|/3dJsAh/Qc/7s:-230,230(-230.000000)
202:Player,BR:0cc/cc/cc/cc:6dTs,3h6h|/2d6c7h/5s/Tc:100,-100(-82.358503)
203:BR,Player:0r130c/cr299c/cr1058c/cr2063c:6s9d,3h3c|/6h6cJc/Qc/Kh:3650,-3650(1681.426405)
204:Player,BR:0cc/cc/cc/cc:3dQs,TsQd|/9sThKh/7d/9d:-100,100(-61.843313)
205:BR,Player:0f:ThKd,3h6d|:50,-50(50.000000)
206:Player,BR:0cr300f:2s9s,2h6h|:100,-100(100.000000)
207:BR,Player:0r130c/cr460c/cc/cc:4h5d,3hAh|/3c6d7c/Ts/Th:690,-690(690.000000)
208:Player,BR:0cc/cc/cc/cc:2d9d,4dQc|/5s8s9h/2s/4h:100,-100(-48.438564)
209:BR,Player:0cc/cr130c/cc/cr460f:7s9s,8cTh|/6s7cKh/8d/8h:-230,230(-230.000000)
210:Player,BR:0cc/cc/r130f:3c6s,3hTc|/5hKhKc/4c:100,-100(100.000000)
211:BR,Player:0r130c/cr299c/cr1058f:5sJc,9sAd|/3sJdAc/Th:-529,529(-529.000000)
212:Player,BR:0cc/cc/r130f:2h3d,5c8d|/7s7dQc/3s:100,-100(100.000000)
213:BR,Player:0r200c/cc/cc/cc:7cQd,8hAc|/2h4h9d/Jc/6h:-300,300(-300.000000)
