In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 48.
185:Player,BR:0cr300f:3dTd,4d5c|:100,-100(100.000000)
186:BR,Player:0r130c/cr299c/cr687c/cc:2sTc,KdAh|/5dTsAc/9c/Jc:-1216,1216(-1135.307890)
187:Player,BR:0cr300c/cc/r200c/r1800f:8cTc,5d9h|/8dJdJc/2s/3c:600,-600(600.000000)
188:BR,Player:0r130c/cr299c/cr687f:2d2c,9sQd|/4h8sTc/9c:-529,529(-529.000000)
189:Player,BR:0cc/cc/cc/cc:6c9d,5s7s|/2c3dAh/7c/Jc:-100,100(-67.042111)
190:BR,Player:0f:9sJs,2d9h|:50,-50(50.000000)
191:Player,BR:0cc/cc/cc/cc:4s7h,5h7c|/3d8sTh/7s/Jh:0,-0(-33.745066)
192:BR,Player:0r130c/cr299c/cr687c/cc:3cKs,2d3d|/4s5hAh/6d/7s:0,-0(813.985589)
193:Player,BR:0cc/cc/cc/cc:3sJd,5c6h|/2cJsKs/Qc/Qs:100,-100(88.957392)
194:BR,Player:0r200c/cr390f:7h8d,QhQd|/TdJdQc:-300,300(-300.000000)
195:Player,BR:0cc/cc/cc/cc:2s7d,3hKs|/4cKhAc/Qh/7c:-100,100(-82.959913)
196:BR,Player:0f:9hTs,2s6c|:50,-50(50.000000)
197:Player,BR:0cc/cc/cc/cc:9sAd,7cJd|/3d6hQh/8h/3h:100,-100(83.374469)
198:BR,Player:0cc/cc/cc/cc:2hJs,JdAs|/4d7dQs/6s/5d:-100,100(-100.000000)
199:Player,BR:0cr200c/cc/r150c/r585c:2h4h,2d8c|/8h9cTd/4s/7c:-1035,1035(-314.136691)
200:BR,Player:0r130c/cc/cr115c/cr1035f:5h5d,6d8c|/4s9sAh/7c/Qs:-345,345(-345.000000)
201:Player,BR:0cr300c/cc/cc/cc:7dAs,QhQc|/3d4hJc/Ks/Th:-400,400(-301.128948)
202:BR,Player:0r130c/cc/cc/cc:3cQs,TdQd|/4c6hAs/Ad/Ac:-230,230(-101.976027)
203:Player,BR:0cr200c/cc/cc/r150f:ThAc,4sAs|/3s6h8d/5c/8s:300,-300(300.000000)
204:BR,Player:0r200c/cc/cc/cr390c:7hAc,5s8d|/2h2dAd/Td/Ts:690,-690(565.203690)
205:Player,BR:0cr600f:QsQc,2h8h|:100,-100(100.000000)
206:BR,Player:0r200c/cr390c/cr897f:9cKd,8dAd|/4d5h7s/Qd:-690,690(-690.000000)
207:Player,BR:0cc/cc/cc/cc:3c4d,4h9h|/9sJsQd/3s/7s:-100,100(9.503520)
208:BR,Player:0r200c/cc/cc/cr600f:6c7s,TdKh|/7d9s9h/Ts/5h:-300,300(-300.000000)
209:Player,BR:0cc/cc/r200c/r390c:4d7h,AhAd|/2d5dTs/6h/5h:-690,690(-690.000000)
210:BR,Player:0r130c/cc/cc/cc:ThAc,5dKh|/JhAsAd/8c/4d:230,-230(230.000000)
211:Player,BR:0cc/cc/cc/cc:2cJs,QhAh|/TcKcAd/4h/3h:-100,100(-84.289156)
212:BR,Player:0r200c/cr600c/cr2700f:4cQc,3dTd|/7hJdQd/2h:-900,900(-900.000000)
213:Player,BR:0cc/cc/cc/cc:3sAc,7c8c|/2d4d8h/7h/7s:-100,100(-99.787247)
214:BR,Player:0r130c/cr299c/cr1587f:4dTs,7d9c|/2c5c6h/6c:-529,529(-529.000000)
215:Player,BR:0cc/cc/r200f:4d8h,4h6c|/9cThJh/3s:100,-100(100.000000)
216:BR,Player:0r200c/cr600c/cc/cc:8sQc,3d4s|/8cTsQh/As/Ac:900,-900(900.000000)
217:Player,BR:0cr600c/cc/cc/r350c:5sKs,JsAd|/4h8hJh/Kh/2c:1050,-1050(633.251720)
218:BR,Player:0f:TsJc,2h3s|:50,-50(50.000000)
219:Player,BR:0cr200c/r390c/r1380c/r2691c:6c9s,4hAs|/3s4sQh/5h/3d:-4761,4761(-2939.622073)
220:BR,Player:0r130c/cc/cc/cr299f:4s4c,2d6d|/8hTsKh/5s/8s:-230,230(-230.000000)
221:Player,BR:0cc/cc/cc/cc:2c8s,7dAd|/2h6hAs/Js/9c:-100,100(-82.675854)
222:BR,Player:0r130c/cc/cc/cc:2h8h,3s3c|/4dJhKs/8d/6s:230,-230(226.340198)
223:Player,BR:0cr300c/r520c/r1840c/r1380c:QdAh,5h9h|/8s9sAd/9d/Tc:-4140,4140(-3499.880232)
224:BR,Player:0r130c/cr299c/cr264c/cr2379c:7s9s,8dTh|/5c9dKc/7c/2s:3172,-3172(3160.113619)
225:Player,BR:0cc/cc/cc/cc:4cQd,5c9s|/2s7dAc/Ah/2h:100,-100(63.428987)
226:BR,Player:0r130c/cc/cc/cc:2h3h,QhKc|/3c5s9h/Th/5h:230,-230(230.000000)
227:Player,BR:0cc/cc/r130c/r115f:9cKh,8sQs|/4h9sTs/3d/2h:230,-230(230.000000)
228:BR,Player:0f:ThQd,2c4d|:50,-50(50.000000)
229:Player,BR:0cr200c/cc/cc/cc:7dKs,7hAd|/2h8dJs/3s/6c:-300,300(100.046563)
230:BR,Player:0cc/cr200c/cc/cc:JhKs,5h7d|/5c6cQc/Kh/Ac:300,-300(135.267427)
231:Player,BR:0cc/cc/cc/cc:5c6s,3c6c|/2dQsAs/2s/2h:0,-0(64.595001)
232:BR,Player:0r130c/cr460c/cr897f:3sQs,QcAh|/TcJcKd/6h:-690,690(-690.000000)
233:Player,BR:0cc/cc/r300f:3s6d,2h8h|/5s6s6c/6h:100,-100(100.000000)
