In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 42.
208:BR,Player:0r200c/cr390c/cr1380c/cc:2c8h,9dTh|/5d8s9c/Jh/4c:-2070,2070(-1229.089023)
209:Player,BR:0cc/cc/cc/cc:JcKs,6sTd|/3hQsQd/3d/5s:100,-100(57.421822)
210:BR,Player:0r130c/cc/cc/cc:6d7c,3h4s|/2c8cQh/3c/Ts:-230,230(-230.000000)
211:Player,BR:0cc/cc/cc/cc:2sQd,QsAd|/3d4h7c/Kd/2d:100,-100(31.121531)
212:BR,Player:0r130c/cc/cc/cc:2sTs,7c9s|/9cKcAh/2c/4s:-230,230(-0.140353)
213:Player,BR:0cc/cc/cc/r130c:3cTc,6hKc|/6dQdKd/2d/4c:-230,230(73.217513)
214:BR,Player:0r130c/cr299c/cc/cc:5sQs,3d9d|/4s4dTc/3s/Qc:529,-529(529.000000)
215:Player,BR:0cc/cc/r130c/r299f:4cQh,2hKs|/6hJcAc/Qs/7d:230,-230(230.000000)
216:BR,Player:0r300c/cc/cr200f:4hJd,6dJs|/2h9hTc/3c:-400,400(-400.000000)
217:Player,BR:0cc/cc/cc/r130c:7h8d,2s2c|/4c7dAs/Tc/8h:230,-230(38.933588)
218:BR,Player:0r200c/cc/cc/cc:4h8s,TsTc|/5dJhAs/8d/7d:-300,300(170.184080)
219:Player,BR:0cc/cc/cc/cc:4dAc,3cAh|/5c9dTc/9c/7d:0,-0(-38.004802)
220:BR,Player:0f:TsKh,2d4s|:50,-50(50.000000)
221:Player,BR:0cc/cc/r130c/r299f:4c6d,ThQd|/3c5c7s/Jd/8s:230,-230(230.000000)
222:BR,Player:0r130c/cc/cc/cr460c:TdJh,8dKs|/2s6dQc/9d/Kd:690,-690(629.554593)
223:Player,BR:0cr300f:2sJs,3s4h|:100,-100(100.000000)
224:BR,Player:0r130c/cc/cr460c/cr897c:4s4h,6h9d|/2s8cTs/3s/Ac:1587,-1587(1254.774781)
225:Player,BR:0cc/cc/cc/r130c:7hTs,2d3d|/2s2h3s/8h/Kc:-230,230(-228.947392)
226:BR,Player:0r130c/cc/cc/cr460f:3h7h,6dKh|/4hJsQc/Kc/5d:-230,230(-230.000000)
227:Player,BR:0cc/cc/r130c/cc:4s9h,2cAs|/8dQdQc/8s/Ad:-230,230(-207.204114)
228:BR,Player:0r130c/cc/cc/cc:4dKh,8dKd|/3c8cQc/7d/Jc:-230,230(-230.000000)
229:Player,BR:0cc/cc/r130c/r299c:9hJd,2sJs|/8cJcKh/2h/Kd:529,-529(-269.142702)
230:BR,Player:0r200c/cr900c/cc/cc:5hAd,3c4s|/8sKhAs/Qh/6h:1200,-1200(1200.000000)
231:Player,BR:0cr200c/cc/cc/cc:JcKs,6s6h|/2d7h7d/Qc/3h:-300,300(-232.537567)
232:BR,Player:0r200c/cc/cr390c/cc:2c9c,3sTs|/5dQhAh/2h/8d:690,-690(224.094185)
233:Player,BR:0cc/cc/cc/cc:2s7h,4sTd|/5sJhQc/2h/6h:100,-100(93.297860)
